Marke	Artikelnummer	Kurzbezeichnung	Baujahr	TieferlegungVA	TieferlegungHA	VerstellungVA	VerstellungHA	Auflagen	Zulassung	AchslastVA	AchslastHA	Lieferumfang	Ausfuehrung	Hinweise	Produkt	Durchmesser	EANcode	VerpackungL	VerpackungB	VerpackungH	VerpackungG	Produktkategorie	FederbeinklemmdurchmesserVA	FahrzeugElektronischeDaempferregelung	Hinterachsausfuehrung	Einschraenkung	EinschraenkungF	TieferlegungVAmin	TieferlegungVAmax	TieferlegungHAmin	TieferlegungHAmax	Versandpaket	UPC	Produkthinweis	Zuordnungshinweis	HinweisE	Vk	Hersteller	Modell	Typ	Handelsname	Bauform	Kraftstoffart	Kw	Hubraum	Zylinder	Antriebsart	Hsntsn	Fahrzeugid	Flag_matching
KW	25310049	Höhenverstellbarer Federnsatz (Gewindefedern)	05/2004-	25-55	25-55	Gewinde	Gewinde	91	Teilegutachten (§19.3)	-1240	-1205	Set (VA+HA)	Höhenverstellbare Federn		Höhenverstellbare Federn		4250580402565					Gewindefedern										1				91=VA + HA höhenverstellbar (Federnsatz bestehend aus VA+HA Federn mit Höhenverstellung, kann ausschließlich mit Seriendämpfern verwendet werden)	649	AUDI	A6 (4F) 4F2, C6  (04/2004-08/2011)	4F	2.4 quattro	Stufenheck	Benzin	130	2393	6	Allrad	0588875 | 0588ABY		0
KW	25310049	Höhenverstellbarer Federnsatz (Gewindefedern)	05/2004-	25-55	25-55	Gewinde	Gewinde	91	Teilegutachten (§19.3)	-1240	-1205	Set (VA+HA)	Höhenverstellbare Federn		Höhenverstellbare Federn		4250580402565					Gewindefedern										1				91=VA + HA höhenverstellbar (Federnsatz bestehend aus VA+HA Federn mit Höhenverstellung, kann ausschließlich mit Seriendämpfern verwendet werden)	649	AUDI	A6 (4F) 4F2, C6  (04/2004-08/2011)	4F	2.4	Stufenheck	Benzin	130	2393	6	Frontantrieb	0588851 | 0588ABX		0
KW	25310049	Höhenverstellbarer Federnsatz (Gewindefedern)	05/2004-	25-55	25-55	Gewinde	Gewinde	91	Teilegutachten (§19.3)	-1240	-1205	Set (VA+HA)	Höhenverstellbare Federn		Höhenverstellbare Federn		4250580402565					Gewindefedern										1				91=VA + HA höhenverstellbar (Federnsatz bestehend aus VA+HA Federn mit Höhenverstellung, kann ausschließlich mit Seriendämpfern verwendet werden)	649	AUDI	A6 (4F) 4F2, C6  (04/2004-08/2011)	4F	2.0 TFSI	Stufenheck	Benzin	125	1984	4	Frontantrieb	0588901 | 0588ACD		0
KW	25310049	Höhenverstellbarer Federnsatz (Gewindefedern)	05/2004-	25-55	25-55	Gewinde	Gewinde	91	Teilegutachten (§19.3)	-1240	-1205	Set (VA+HA)	Höhenverstellbare Federn		Höhenverstellbare Federn		4250580402565					Gewindefedern										1				91=VA + HA höhenverstellbar (Federnsatz bestehend aus VA+HA Federn mit Höhenverstellung, kann ausschließlich mit Seriendämpfern verwendet werden)	649	AUDI	A6 (4F) 4F2, C6  (04/2004-08/2011)	4F	2.0 TDI	Stufenheck	Diesel	125	1968	4	Frontantrieb	0588AJO		0
KW	25310049	Höhenverstellbarer Federnsatz (Gewindefedern)	05/2004-	25-55	25-55	Gewinde	Gewinde	91	Teilegutachten (§19.3)	-1240	-1205	Set (VA+HA)	Höhenverstellbare Federn		Höhenverstellbare Federn		4250580402565					Gewindefedern										1				91=VA + HA höhenverstellbar (Federnsatz bestehend aus VA+HA Federn mit Höhenverstellung, kann ausschließlich mit Seriendämpfern verwendet werden)	649	AUDI	A6 (4F) 4F2, C6  (04/2004-08/2011)	4F	2.7 TDI	Stufenheck	Diesel	120	2698	6	Frontantrieb	0588881 | 0588893 | 0588ACG		0
KW	25310049	Höhenverstellbarer Federnsatz (Gewindefedern)	05/2004-	25-55	25-55	Gewinde	Gewinde	91	Teilegutachten (§19.3)	-1240	-1205	Set (VA+HA)	Höhenverstellbare Federn		Höhenverstellbare Federn		4250580402565					Gewindefedern										1				91=VA + HA höhenverstellbar (Federnsatz bestehend aus VA+HA Federn mit Höhenverstellung, kann ausschließlich mit Seriendämpfern verwendet werden)	649	AUDI	A6 (4F) 4F2, C6  (04/2004-08/2011)	4F	2.0 TDI	Stufenheck	Diesel	120	1968	4	Frontantrieb	0588AKK		0
KW	25310049	Höhenverstellbarer Federnsatz (Gewindefedern)	05/2004-	25-55	25-55	Gewinde	Gewinde	91	Teilegutachten (§19.3)	-1240	-1205	Set (VA+HA)	Höhenverstellbare Federn		Höhenverstellbare Federn		4250580402565					Gewindefedern										1				91=VA + HA höhenverstellbar (Federnsatz bestehend aus VA+HA Federn mit Höhenverstellung, kann ausschließlich mit Seriendämpfern verwendet werden)	649	AUDI	A6 (4F) 4F2, C6  (04/2004-08/2011)	4F	2.0 TDI	Stufenheck	Diesel	103	1968	4	Frontantrieb	0588856 | 0588ABZ		0
KW	25310049	Höhenverstellbarer Federnsatz (Gewindefedern)	05/2004-	25-55	25-55	Gewinde	Gewinde	91	Teilegutachten (§19.3)	-1240	-1205	Set (VA+HA)	Höhenverstellbare Federn		Höhenverstellbare Federn		4250580402565					Gewindefedern										1				91=VA + HA höhenverstellbar (Federnsatz bestehend aus VA+HA Federn mit Höhenverstellung, kann ausschließlich mit Seriendämpfern verwendet werden)	649	AUDI	A6 (4F) 4F2, C6  (04/2004-08/2011)	4F	2.0 TDI	Stufenheck	Diesel	100	1968	4	Frontantrieb	0588874 | 0588894 | 0588ACB		0
KW	25310049	Höhenverstellbarer Federnsatz (Gewindefedern)	05/2004-	25-55	25-55	Gewinde	Gewinde	91	Teilegutachten (§19.3)	-1240	-1205	Set (VA+HA)	Höhenverstellbare Federn		Höhenverstellbare Federn		4250580402565					Gewindefedern										1				91=VA + HA höhenverstellbar (Federnsatz bestehend aus VA+HA Federn mit Höhenverstellung, kann ausschließlich mit Seriendämpfern verwendet werden)	649	AUDI	A6 (4F) 4F2, C6  (04/2004-08/2011)	4F	2.0 TDI	Stufenheck	Diesel	89	1968	4	Frontantrieb	0588905 | 0588AAC		0
KW	25310059	Höhenverstellbarer Federnsatz (Gewindefedern)	05/2004-	25-55	25-55	Gewinde	Gewinde	91	Teilegutachten (§19.3)	1241-1305	-1205	Set (VA+HA)	Höhenverstellbare Federn		Höhenverstellbare Federn		4250580402602					Gewindefedern										1				91=VA + HA höhenverstellbar (Federnsatz bestehend aus VA+HA Federn mit Höhenverstellung, kann ausschließlich mit Seriendämpfern verwendet werden)	649	AUDI	A6 (4F) 4F2, C6  (04/2004-08/2011)	4F	4.2 quattro	Stufenheck	Benzin	246	4163	8	Allrad	0588850 | 0588ABR | 0588ABU		0
KW	25310059	Höhenverstellbarer Federnsatz (Gewindefedern)	05/2004-	25-55	25-55	Gewinde	Gewinde	91	Teilegutachten (§19.3)	1241-1305	-1205	Set (VA+HA)	Höhenverstellbare Federn		Höhenverstellbare Federn		4250580402602					Gewindefedern										1				91=VA + HA höhenverstellbar (Federnsatz bestehend aus VA+HA Federn mit Höhenverstellung, kann ausschließlich mit Seriendämpfern verwendet werden)	649	AUDI	A6 (4F) 4F2, C6  (04/2004-08/2011)	4F	3.0 TFSI quattro	Stufenheck	Benzin	213	2995	6	Allrad	0588AJQ		0
KW	25310059	Höhenverstellbarer Federnsatz (Gewindefedern)	05/2004-	25-55	25-55	Gewinde	Gewinde	91	Teilegutachten (§19.3)	1241-1305	-1205	Set (VA+HA)	Höhenverstellbare Federn		Höhenverstellbare Federn		4250580402602					Gewindefedern										1				91=VA + HA höhenverstellbar (Federnsatz bestehend aus VA+HA Federn mit Höhenverstellung, kann ausschließlich mit Seriendämpfern verwendet werden)	649	AUDI	A6 (4F) 4F2, C6  (04/2004-08/2011)	4F	3.0 TDI quattro	Stufenheck	Diesel	176	2967	6	Allrad	0588AJI		0
KW	25310059	Höhenverstellbarer Federnsatz (Gewindefedern)	05/2004-	25-55	25-55	Gewinde	Gewinde	91	Teilegutachten (§19.3)	1241-1305	-1205	Set (VA+HA)	Höhenverstellbare Federn		Höhenverstellbare Federn		4250580402602					Gewindefedern										1				91=VA + HA höhenverstellbar (Federnsatz bestehend aus VA+HA Federn mit Höhenverstellung, kann ausschließlich mit Seriendämpfern verwendet werden)	649	AUDI	A6 (4F) 4F2, C6  (04/2004-08/2011)	4F	3.0 TDI quattro	Stufenheck	Diesel	171	2967	6	Allrad	0588AAS		0
KW	25310059	Höhenverstellbarer Federnsatz (Gewindefedern)	05/2004-	25-55	25-55	Gewinde	Gewinde	91	Teilegutachten (§19.3)	1241-1305	-1205	Set (VA+HA)	Höhenverstellbare Federn		Höhenverstellbare Federn		4250580402602					Gewindefedern										1				91=VA + HA höhenverstellbar (Federnsatz bestehend aus VA+HA Federn mit Höhenverstellung, kann ausschließlich mit Seriendämpfern verwendet werden)	649	AUDI	A6 (4F) 4F2, C6  (04/2004-08/2011)	4F	3.0 TDI quattro	Stufenheck	Diesel	165	2967	6	Allrad	0588852 | 0588ACA		0
KW	25310059	Höhenverstellbarer Federnsatz (Gewindefedern)	05/2004-	25-55	25-55	Gewinde	Gewinde	91	Teilegutachten (§19.3)	1241-1305	-1205	Set (VA+HA)	Höhenverstellbare Federn		Höhenverstellbare Federn		4250580402602					Gewindefedern										1				91=VA + HA höhenverstellbar (Federnsatz bestehend aus VA+HA Federn mit Höhenverstellung, kann ausschließlich mit Seriendämpfern verwendet werden)	649	AUDI	A6 (4F) 4F2, C6  (04/2004-08/2011)	4F	3.0 TDI quattro	Stufenheck	Diesel	155	2967	6	Allrad	0588854 | 0588ACC		0
KW	25310059	Höhenverstellbarer Federnsatz (Gewindefedern)	05/2004-	25-55	25-55	Gewinde	Gewinde	91	Teilegutachten (§19.3)	1241-1305	-1205	Set (VA+HA)	Höhenverstellbare Federn		Höhenverstellbare Federn		4250580402602					Gewindefedern										1				91=VA + HA höhenverstellbar (Federnsatz bestehend aus VA+HA Federn mit Höhenverstellung, kann ausschließlich mit Seriendämpfern verwendet werden)	649	AUDI	A6 (4F) 4F2, C6  (04/2004-08/2011)	4F	2.7 TDI quattro	Stufenheck	Diesel	140	2698	6	Allrad	0588AJL		0
KW	25310059	Höhenverstellbarer Federnsatz (Gewindefedern)	05/2004-	25-55	25-55	Gewinde	Gewinde	91	Teilegutachten (§19.3)	1241-1305	-1205	Set (VA+HA)	Höhenverstellbare Federn		Höhenverstellbare Federn		4250580402602					Gewindefedern										1				91=VA + HA höhenverstellbar (Federnsatz bestehend aus VA+HA Federn mit Höhenverstellung, kann ausschließlich mit Seriendämpfern verwendet werden)	649	AUDI	A6 (4F) 4F2, C6  (04/2004-08/2011)	4F	2.7 TDI	Stufenheck	Diesel	140	2698	6	Frontantrieb	0588AJK		0
KW	25310059	Höhenverstellbarer Federnsatz (Gewindefedern)	05/2004-	25-55	25-55	Gewinde	Gewinde	91	Teilegutachten (§19.3)	1241-1305	-1205	Set (VA+HA)	Höhenverstellbare Federn		Höhenverstellbare Federn		4250580402602					Gewindefedern										1				91=VA + HA höhenverstellbar (Federnsatz bestehend aus VA+HA Federn mit Höhenverstellung, kann ausschließlich mit Seriendämpfern verwendet werden)	649	AUDI	A6 (4F) 4F2, C6  (04/2004-08/2011)	4F	2.7 TDI quattro	Stufenheck	Diesel	132	2698	6	Allrad	0588903 | 0588ACF		0
KW	25310059	Höhenverstellbarer Federnsatz (Gewindefedern)	05/2004-	25-55	25-55	Gewinde	Gewinde	91	Teilegutachten (§19.3)	1241-1305	-1205	Set (VA+HA)	Höhenverstellbare Federn		Höhenverstellbare Federn		4250580402602					Gewindefedern										1				91=VA + HA höhenverstellbar (Federnsatz bestehend aus VA+HA Federn mit Höhenverstellung, kann ausschließlich mit Seriendämpfern verwendet werden)	649	AUDI	A6 (4F) 4F2, C6  (04/2004-08/2011)	4F	2.7 TDI	Stufenheck	Diesel	132	2698	6	Frontantrieb	0588876 | 0588ACE		0
KW	25310059	Höhenverstellbarer Federnsatz (Gewindefedern)	05/2004-	25-55	25-55	Gewinde	Gewinde	91	Teilegutachten (§19.3)	1241-1305	-1205	Set (VA+HA)	Höhenverstellbare Federn		Höhenverstellbare Federn		4250580402602					Gewindefedern										1				91=VA + HA höhenverstellbar (Federnsatz bestehend aus VA+HA Federn mit Höhenverstellung, kann ausschließlich mit Seriendämpfern verwendet werden)	649	AUDI	A6 (4F) 4F2, C6  (04/2004-08/2011)	4F	2.7 TDI quattro	Stufenheck	Diesel	120	2698	6	Allrad	0588899 | 0588ACH		0
KW	25310059	Höhenverstellbarer Federnsatz (Gewindefedern)	05/2004-	25-55	25-55	Gewinde	Gewinde	91	Teilegutachten (§19.3)	1241-1305	-1205	Set (VA+HA)	Höhenverstellbare Federn		Höhenverstellbare Federn		4250580402602					Gewindefedern										1				91=VA + HA höhenverstellbar (Federnsatz bestehend aus VA+HA Federn mit Höhenverstellung, kann ausschließlich mit Seriendämpfern verwendet werden)	649	AUDI	A6 (4F) 4F2, C6  (04/2004-08/2011)	4F	2.7 TDI	Stufenheck	Diesel	120	2698	6	Frontantrieb	0588881 | 0588893 | 0588ACG		0
KW	25310059	Höhenverstellbarer Federnsatz (Gewindefedern)	05/2004-	25-55	25-55	Gewinde	Gewinde	91	Teilegutachten (§19.3)	1241-1305	-1205	Set (VA+HA)	Höhenverstellbare Federn		Höhenverstellbare Federn		4250580402602					Gewindefedern										1				91=VA + HA höhenverstellbar (Federnsatz bestehend aus VA+HA Federn mit Höhenverstellung, kann ausschließlich mit Seriendämpfern verwendet werden)	649	AUDI	A6 (4F) 4F2, C6  (04/2004-08/2011)	4F	4.2 FSI quattro	Stufenheck	Benzin	257	4163	8	Allrad	0588AAQ | 0588AFS		0
KW	25310055	Höhenverstellbarer Federnsatz (Gewindefedern)	02/2005-	25-55	25-55	Gewinde	Gewinde	91	Teilegutachten (§19.3)	-1240	-1300	Set (VA+HA)	Höhenverstellbare Federn		Höhenverstellbare Federn		4250580402589					Gewindefedern										1				91=VA + HA höhenverstellbar (Federnsatz bestehend aus VA+HA Federn mit Höhenverstellung, kann ausschließlich mit Seriendämpfern verwendet werden)	649	AUDI	A6 Avant (4F) 4F5, C6  (11/2004-08/2011)	4F	3.2 FSI	Kombi	Benzin	188	3123	6	Frontantrieb	0588882 | 0588ABB		0
KW	25310055	Höhenverstellbarer Federnsatz (Gewindefedern)	02/2005-	25-55	25-55	Gewinde	Gewinde	91	Teilegutachten (§19.3)	-1240	-1300	Set (VA+HA)	Höhenverstellbare Federn		Höhenverstellbare Federn		4250580402589					Gewindefedern										1				91=VA + HA höhenverstellbar (Federnsatz bestehend aus VA+HA Federn mit Höhenverstellung, kann ausschließlich mit Seriendämpfern verwendet werden)	649	AUDI	A6 Avant (4F) 4F5, C6  (11/2004-08/2011)	4F	3.2 FSI quattro	Kombi	Benzin	188	3123	6	Allrad	588883		0
KW	25310055	Höhenverstellbarer Federnsatz (Gewindefedern)	02/2005-	25-55	25-55	Gewinde	Gewinde	91	Teilegutachten (§19.3)	-1240	-1300	Set (VA+HA)	Höhenverstellbare Federn		Höhenverstellbare Federn		4250580402589					Gewindefedern										1				91=VA + HA höhenverstellbar (Federnsatz bestehend aus VA+HA Federn mit Höhenverstellung, kann ausschließlich mit Seriendämpfern verwendet werden)	649	AUDI	A6 Avant (4F) 4F5, C6  (11/2004-08/2011)	4F	2.8 FSI	Kombi	Benzin	162	2773	6	Frontantrieb	0588AJC | 0588ANS | 0588APB		0
KW	25310055	Höhenverstellbarer Federnsatz (Gewindefedern)	02/2005-	25-55	25-55	Gewinde	Gewinde	91	Teilegutachten (§19.3)	-1240	-1300	Set (VA+HA)	Höhenverstellbare Federn		Höhenverstellbare Federn		4250580402589					Gewindefedern										1				91=VA + HA höhenverstellbar (Federnsatz bestehend aus VA+HA Federn mit Höhenverstellung, kann ausschließlich mit Seriendämpfern verwendet werden)	649	AUDI	A6 Avant (4F) 4F5, C6  (11/2004-08/2011)	4F	2.8 FSI quattro	Kombi	Benzin	162	2773	6	Allrad	0588AJD | 0588APC		0
KW	25310055	Höhenverstellbarer Federnsatz (Gewindefedern)	02/2005-	25-55	25-55	Gewinde	Gewinde	91	Teilegutachten (§19.3)	-1240	-1300	Set (VA+HA)	Höhenverstellbare Federn		Höhenverstellbare Federn		4250580402589					Gewindefedern										1				91=VA + HA höhenverstellbar (Federnsatz bestehend aus VA+HA Federn mit Höhenverstellung, kann ausschließlich mit Seriendämpfern verwendet werden)	649	AUDI	A6 Avant (4F) 4F5, C6  (11/2004-08/2011)	4F	3.0	Kombi	Benzin	160	2976	6	Frontantrieb	0588890 | 0588ABE		0
KW	25310055	Höhenverstellbarer Federnsatz (Gewindefedern)	02/2005-	25-55	25-55	Gewinde	Gewinde	91	Teilegutachten (§19.3)	-1240	-1300	Set (VA+HA)	Höhenverstellbare Federn		Höhenverstellbare Federn		4250580402589					Gewindefedern										1				91=VA + HA höhenverstellbar (Federnsatz bestehend aus VA+HA Federn mit Höhenverstellung, kann ausschließlich mit Seriendämpfern verwendet werden)	649	AUDI	A6 Avant (4F) 4F5, C6  (11/2004-08/2011)	4F	3.0 quattro	Kombi	Benzin	160	2976	6	Allrad	0588891 | 0588ABF		0
KW	25310055	Höhenverstellbarer Federnsatz (Gewindefedern)	02/2005-	25-55	25-55	Gewinde	Gewinde	91	Teilegutachten (§19.3)	-1240	-1300	Set (VA+HA)	Höhenverstellbare Federn		Höhenverstellbare Federn		4250580402589					Gewindefedern										1				91=VA + HA höhenverstellbar (Federnsatz bestehend aus VA+HA Federn mit Höhenverstellung, kann ausschließlich mit Seriendämpfern verwendet werden)	649	AUDI	A6 Avant (4F) 4F5, C6  (11/2004-08/2011)	4F	2.8 FSI quattro	Kombi	Benzin	154	2773	6	Allrad	0588AGI		0
KW	25310055	Höhenverstellbarer Federnsatz (Gewindefedern)	02/2005-	25-55	25-55	Gewinde	Gewinde	91	Teilegutachten (§19.3)	-1240	-1300	Set (VA+HA)	Höhenverstellbare Federn		Höhenverstellbare Federn		4250580402589					Gewindefedern										1				91=VA + HA höhenverstellbar (Federnsatz bestehend aus VA+HA Federn mit Höhenverstellung, kann ausschließlich mit Seriendämpfern verwendet werden)	649	AUDI	A6 Avant (4F) 4F5, C6  (11/2004-08/2011)	4F	2.8 FSI	Kombi	Benzin	154	2773	6	Frontantrieb	0588AFY		0
KW	25310055	Höhenverstellbarer Federnsatz (Gewindefedern)	02/2005-	25-55	25-55	Gewinde	Gewinde	91	Teilegutachten (§19.3)	-1240	-1300	Set (VA+HA)	Höhenverstellbare Federn		Höhenverstellbare Federn		4250580402589					Gewindefedern										1				91=VA + HA höhenverstellbar (Federnsatz bestehend aus VA+HA Federn mit Höhenverstellung, kann ausschließlich mit Seriendämpfern verwendet werden)	649	AUDI	A6 Avant (4F) 4F5, C6  (11/2004-08/2011)	4F	2.8 FSI quattro	Kombi	Benzin	140	2773	6	Allrad	0588AJH | 0588APA		0
KW	25310055	Höhenverstellbarer Federnsatz (Gewindefedern)	02/2005-	25-55	25-55	Gewinde	Gewinde	91	Teilegutachten (§19.3)	-1240	-1300	Set (VA+HA)	Höhenverstellbare Federn		Höhenverstellbare Federn		4250580402589					Gewindefedern										1				91=VA + HA höhenverstellbar (Federnsatz bestehend aus VA+HA Federn mit Höhenverstellung, kann ausschließlich mit Seriendämpfern verwendet werden)	649	AUDI	A6 Avant (4F) 4F5, C6  (11/2004-08/2011)	4F	2.8 FSI	Kombi	Benzin	140	2773	6	Frontantrieb	0588AJG | 0588AOZ		0
KW	25310055	Höhenverstellbarer Federnsatz (Gewindefedern)	02/2005-	25-55	25-55	Gewinde	Gewinde	91	Teilegutachten (§19.3)	-1240	-1300	Set (VA+HA)	Höhenverstellbare Federn		Höhenverstellbare Federn		4250580402589					Gewindefedern										1				91=VA + HA höhenverstellbar (Federnsatz bestehend aus VA+HA Federn mit Höhenverstellung, kann ausschließlich mit Seriendämpfern verwendet werden)	649	AUDI	A6 Avant (4F) 4F5, C6  (11/2004-08/2011)	4F	2.4	Kombi	Benzin	130	2393	6	Frontantrieb	0588885 | 0588ABG		0
KW	25310055	Höhenverstellbarer Federnsatz (Gewindefedern)	02/2005-	25-55	25-55	Gewinde	Gewinde	91	Teilegutachten (§19.3)	-1240	-1300	Set (VA+HA)	Höhenverstellbare Federn		Höhenverstellbare Federn		4250580402589					Gewindefedern										1				91=VA + HA höhenverstellbar (Federnsatz bestehend aus VA+HA Federn mit Höhenverstellung, kann ausschließlich mit Seriendämpfern verwendet werden)	649	AUDI	A6 Avant (4F) 4F5, C6  (11/2004-08/2011)	4F	2.4 quattro	Kombi	Benzin	130	2393	6	Allrad	0588886 | 0588ABH		0
KW	25310055	Höhenverstellbarer Federnsatz (Gewindefedern)	02/2005-	25-55	25-55	Gewinde	Gewinde	91	Teilegutachten (§19.3)	-1240	-1300	Set (VA+HA)	Höhenverstellbare Federn		Höhenverstellbare Federn		4250580402589					Gewindefedern										1				91=VA + HA höhenverstellbar (Federnsatz bestehend aus VA+HA Federn mit Höhenverstellung, kann ausschließlich mit Seriendämpfern verwendet werden)	649	AUDI	A6 Avant (4F) 4F5, C6  (11/2004-08/2011)	4F	2.0 TFSI	Kombi	Benzin	125	1984	4	Frontantrieb	0588902 | 0588ABM | 0588AOO		0
